journal_name,category,if_2022,if_2023,if_2024
CA-A CANCER JOURNAL FOR CLINICIANS,ONCOLOGY - SCIE(Q1),286.13,254.7,232.4
NATURE REVIEWS MICROBIOLOGY,MICROBIOLOGY - SCIE(Q1),78.3,88.1,103.3
NATURE REVIEWS DRUG DISCOVERY,PHARMACOLOGY & PHARMACY - SCIE(Q1),112.29,120.1,101.8
NATURE REVIEWS MOLECULAR CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),113.92,112.7,90.2
Kidney International Supplements,UROLOGY & NEPHROLOGY - SCIE(Q1),6.08,5.5,89.6
LANCET,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",202.73,168.9,88.5
Nature Reviews Materials,NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1),76.68,83.5,86.2
Nature Reviews Clinical Oncology,ONCOLOGY - SCIE(Q1),65.01,78.8,82.2
NEW ENGLAND JOURNAL OF MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",176.08,158.5,78.5
Nature Reviews Earth & Environment,ENVIRONMENTAL SCIENCES - SCIE(Q1),37.21,42.1,71.5
NATURE REVIEWS CANCER,ONCOLOGY - SCIE(Q1),69.8,78.5,66.8
World Psychiatry,PSYCHIATRY - SCIE(Q1),79.68,73.3,65.8
ANNALS OF ONCOLOGY,ONCOLOGY - SCIE(Q1),51.77,50.5,65.4
Living Reviews in Relativity,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)",42.9,40.6,62.5
NATURE REVIEWS IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),108.56,100.3,60.9
Nature Reviews Disease Primers,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",65.04,81.5,60.6
MMWR Recommendations and Reports,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",36.29,33.7,60.1
Nature Energy,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",67.44,56.7,60.1
Nature Reviews Methods Primers,,,,56
CHEMICAL REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",72.09,62.1,55.8
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",157.34,120.7,55
Signal Transduction and Targeted Therapy,CELL BIOLOGY - SCIE(Q1),38.1,39.3,52.7
NATURE REVIEWS GENETICS,GENETICS & HEREDITY - SCIE(Q1),59.58,42.7,52
Nature Reviews Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",34.57,36.3,51.7
Nature Reviews Gastroenterology & Hepatology,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),73.08,65.1,51
NATURE MEDICINE,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)",87.24,82.9,50
MMWR Surveillance Summaries,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",29.1,24.9,49.8
NATURE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),69.5,64.8,48.5
IEEE Communications Surveys and Tutorials,TELECOMMUNICATIONS - SCIE(Q1),33.84,35.6,46.7
SCIENCE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),63.71,56.9,45.8
LANCET NEUROLOGY,CLINICAL NEUROLOGY - SCIE(Q1),59.94,48,45.5
REVIEWS OF MODERN PHYSICS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",50.49,44.1,44.8
Nature Catalysis,"CHEMISTRY, PHYSICAL - SCIE(Q1)",40.71,37.8,44.6
CANCER CELL,ONCOLOGY - SCIE(Q1),38.59,50.3,44.5
